"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1925","➡️ Redirect to class section","","Mon Feb 24 12:11:12 IST 2025","passed","Mon Feb 24 12:11:14 IST 2025","","🎯 15 Mins Class","",""
"","10086","🔍 Click on Searchbar and verify that the premium page should display","","Sun Feb 23 22:45:35 IST 2025","broken","Sun Feb 23 22:45:45 IST 2025","","🎯 15 Mins Class","",""
"","2172","🔍 Check Range button redirects to Premium Page","","Mon Feb 24 11:53:12 IST 2025","passed","Mon Feb 24 11:53:14 IST 2025","","🎯 15 Mins Class: 🎯 Redirects and Premium Page Verification","",""
"","1780","🔍  Click on Check Range button and verify that the premium page should display","","Mon Feb 24 11:50:32 IST 2025","passed","Mon Feb 24 11:50:34 IST 2025","","🎯 15 Mins Class","",""
"","2469","📱 Enter existing non-premium user's mobile number","","Sun Feb 23 22:37:31 IST 2025","passed","Sun Feb 23 22:37:33 IST 2025","","15 Mins Class","",""
"","4352","▶️  Click on Lyrics button and verify that the premium page should display","","Mon Feb 24 11:50:46 IST 2025","passed","Mon Feb 24 11:50:50 IST 2025","","🎯 15 Mins Class","",""
"","7435","🔎 Search any song and click on Class button and verify that the premium page should display","","Sun Feb 23 22:46:09 IST 2025","passed","Sun Feb 23 22:46:16 IST 2025","","🎯 15 Mins Class","",""
"","11790","🔍  Click on Searchbar and verify that the premium page should display","","Sun Feb 23 22:48:40 IST 2025","broken","Sun Feb 23 22:48:51 IST 2025","","🎯 15 Mins Class","",""
"","740","Redirect to class section","","Sun Feb 23 22:37:41 IST 2025","passed","Sun Feb 23 22:37:41 IST 2025","","15 Mins Class","",""
"","2397","📱 Enter existing non-premium user's mobile number","","Mon Feb 24 12:44:07 IST 2025","passed","Mon Feb 24 12:44:10 IST 2025","","🎯 15 Mins Class","",""
"","3253","🔑 Click on Get OTP button","","Sun Feb 23 22:37:33 IST 2025","passed","Sun Feb 23 22:37:36 IST 2025","","15 Mins Class","",""
"","10017","🔎 Start Class from Global Search redirects to Premium Page","","Mon Feb 24 12:44:32 IST 2025","broken","Mon Feb 24 12:44:42 IST 2025","","🎯 15 Mins Class","",""
"","679","➡️ Redirect to class section","","Mon Feb 24 11:53:11 IST 2025","passed","Mon Feb 24 11:53:12 IST 2025","","🎯 15 Mins Class: 🎯 Redirects and Premium Page Verification","",""
"","8283","🚀 Launch app and redirect to login page","","Sun Feb 23 22:37:22 IST 2025","passed","Sun Feb 23 22:37:31 IST 2025","","15 Mins Class","",""
"","10125","▶️ Click on Start Class button and verify that the premium page should display","","Sun Feb 23 22:45:46 IST 2025","broken","Sun Feb 23 22:45:57 IST 2025","","🎯 15 Mins Class","",""
"","4563","👤 Select user profile","","Mon Feb 24 12:44:13 IST 2025","passed","Mon Feb 24 12:44:18 IST 2025","","🎯 15 Mins Class","",""
"","4531","▶️ Start Class button redirects to Premium Page","","Mon Feb 24 12:02:48 IST 2025","passed","Mon Feb 24 12:02:53 IST 2025","","🎯 15 Mins Class","",""
"","3970","▶️  Lyrics button redirects to Premium Page","","Mon Feb 24 12:44:28 IST 2025","passed","Mon Feb 24 12:44:32 IST 2025","","🎯 15 Mins Class","",""
"","678","➡️  Redirect to class section","","Mon Feb 24 12:44:18 IST 2025","passed","Mon Feb 24 12:44:18 IST 2025","","🎯 15 Mins Class","",""
"","1980","Click on Searchbar and verify that the premium page should display","","Sun Feb 23 22:37:41 IST 2025","passed","Sun Feb 23 22:37:43 IST 2025","","15 Mins Class","",""
"","10006","🔎 Search and Start Class redirects to Premium Page","","Mon Feb 24 12:44:44 IST 2025","broken","Mon Feb 24 12:44:54 IST 2025","","🎯 15 Mins Class","",""
"","10837","🔎 Click on Start Class button from the gloabal search song list and verify that the premium page should display","","Sun Feb 23 22:45:57 IST 2025","broken","Sun Feb 23 22:46:08 IST 2025","","🎯 15 Mins Class","",""
"","10024","▶️  Click on Start Class button and verify that the premium page should display","","Mon Feb 24 11:50:34 IST 2025","broken","Mon Feb 24 11:50:44 IST 2025","","🎯 15 Mins Class","",""
"","3164","Click on Start Class button and verify that the premium page should display","","Sun Feb 23 22:37:43 IST 2025","passed","Sun Feb 23 22:37:47 IST 2025","","15 Mins Class","",""
"","4267","Search any song, click on Start Class button and verify that the premium page should display","","Sun Feb 23 22:37:47 IST 2025","passed","Sun Feb 23 22:37:51 IST 2025","","15 Mins Class","",""
"","5177","▶️  Start Class button redirects to Premium Page","","Mon Feb 24 12:44:23 IST 2025","passed","Mon Feb 24 12:44:28 IST 2025","","🎯 15 Mins Class","",""
"","6872","▶️ Lyrics button redirects to Premium Page","","Mon Feb 24 11:53:18 IST 2025","passed","Mon Feb 24 11:53:25 IST 2025","","🎯 15 Mins Class: 🎯 Redirects and Premium Page Verification","",""
"","0","🔎  Search any song and click on Class button and verify that the premium page should display","","Mon Feb 24 11:45:53 IST 2025","skipped","Mon Feb 24 11:45:53 IST 2025","","🎯 15 Mins Class","",""
"","1","▶️ Lyrics button redirects to Premium Page","","Mon Feb 24 12:02:53 IST 2025","skipped","Mon Feb 24 12:02:53 IST 2025","","🎯 15 Mins Class","",""
"","3280","🔑 Click on Get OTP button","","Mon Feb 24 12:44:10 IST 2025","passed","Mon Feb 24 12:44:13 IST 2025","","🎯 15 Mins Class","",""
"","4862","🔍 Check Range button redirects to Premium Page","","Mon Feb 24 12:44:18 IST 2025","passed","Mon Feb 24 12:44:23 IST 2025","","🎯 15 Mins Class","",""
"","4480","👤 Select user profile","","Sun Feb 23 22:37:36 IST 2025","passed","Sun Feb 23 22:37:41 IST 2025","","15 Mins Class","",""
"","1","🔎  Click on Start Class button from the gloabal search song list and verify that the premium page should display","","Mon Feb 24 11:45:53 IST 2025","skipped","Mon Feb 24 11:45:53 IST 2025","","🎯 15 Mins Class","",""
"","3930","▶️ Start Class button redirects to Premium Page","","Mon Feb 24 11:53:14 IST 2025","passed","Mon Feb 24 11:53:18 IST 2025","","🎯 15 Mins Class: 🎯 Redirects and Premium Page Verification","",""
"","8157","🚀 Launch app and redirect to login page","","Mon Feb 24 12:43:59 IST 2025","passed","Mon Feb 24 12:44:07 IST 2025","","🎯 15 Mins Class","",""
